Name,Year Drafted,GP,MIN,PTS,FGM,FGA,3P Made,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,Last 5 Years?
Jared Sullinger,2012,45,19.8,6,2.5,5,0,0.1,1,1.4,2,3.8,5.9,0.8,0.5,0.5,0.6,0
Jeff Taylor,2012,77,19.6,6.1,2.2,5.2,0.7,2,1,1.3,0.7,1.3,1.9,0.8,0.6,0.2,0.6,0
Chris Copeland,2012,56,15.4,8.7,3.3,6.8,1.1,2.5,1.1,1.5,0.6,1.5,2.1,0.5,0.3,0.2,0.9,0
Kendall Marshall,2012,48,14.6,3,1.2,3.1,0.5,1.5,0.2,0.3,0.1,0.8,0.9,3,0.5,0.1,1.2,0
Darius Miller,2012,52,13.3,2.3,0.8,2.1,0.4,1.1,0.2,0.2,0.2,1.3,1.5,0.8,0.3,0.2,0.4,0
DeQuan Jones,2012,63,12.7,3.7,1.5,3.5,0.1,0.6,0.5,0.8,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0
Doron Lamb,2012,47,12.3,3.3,1.3,3.5,0.3,0.8,0.4,0.7,0.2,0.8,1,0.7,0.3,0,0.6,0
Orlando Johnson,2012,51,12.1,4,1.4,3.5,0.7,1.8,0.5,0.6,0.4,1.8,2.2,0.9,0.2,0.2,0.6,0
Arnett Moultrie,2012,47,11.5,3.7,1.7,2.9,0,0,0.4,0.6,1.6,1.5,3.1,0.2,0.4,0.2,0.4,0
Bernard James,2012,46,9.9,2.8,1.2,2.2,0,0,0.5,0.9,1.1,1.7,2.8,0.1,0.3,0.8,0.4,0
Kim English,2012,41,9.9,2.9,1,2.7,0.3,1.2,0.5,0.7,0.2,0.7,0.9,0.6,0.4,0.1,0.5,0
Marquis Teague,2012,48,8.2,2.1,0.9,2.4,0.1,0.5,0.2,0.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,0
Tony Wroten,2012,35,7.8,2.6,0.9,2.5,0.1,0.5,0.6,0.8,0.4,0.4,0.8,1.2,0.2,0.1,0.8,0
Maalik Wayns,2012,27,7.5,2.8,1,3.3,0.3,1.1,0.6,0.7,0,0.2,0.3,1,0.2,0,0.6,0
Damian Lillard,2012,82,38.6,19,6.7,15.7,2.3,6.1,3.3,3.9,0.5,2.6,3.1,6.5,0.9,0.2,3,1
Bradley Beal,2012,56,31.2,13.9,5,12.3,1.6,4.2,2.2,2.8,0.8,3,3.8,2.4,0.9,0.5,1.6,1
Anthony Davis,2012,64,28.8,13.5,5.5,10.6,0,0.1,2.6,3.5,2.6,5.6,8.2,1,1.2,1.8,1.4,1
Dion Waiters,2012,61,28.8,14.7,5.5,13.4,1,3.3,2.6,3.5,0.4,2.1,2.4,3,1,0.3,2,1
Kyle Singler,2012,82,28,8.8,3.4,7.8,0.9,2.4,1.2,1.5,1.3,2.7,4,0.9,0.7,0.5,1.2,1
Tyler Zeller,2012,77,26.4,7.9,3.2,7.3,0,0.1,1.6,2,2.1,3.6,5.7,1.2,0.5,0.9,1.2,1
Maurice Harkless,2012,76,26,8.2,3.4,7.4,0.4,1.5,1,1.7,1.6,2.8,4.4,0.7,1.2,0.8,0.9,1
Michael Kidd-Gilchrist,2012,78,26,9,3.6,7.9,0,0.1,1.8,2.4,1.7,4.2,5.8,1.5,0.7,0.9,1.3,1
Harrison Barnes,2012,81,25.4,9.2,3.4,7.8,0.6,1.8,1.8,2.3,0.7,3.5,4.1,1.2,0.6,0.2,1.3,1
Austin Rivers,2012,61,23.2,6.2,2.4,6.4,0.5,1.4,1,1.8,0.3,1.5,1.8,2.1,0.4,0.1,1.2,1
Andre Drummond,2012,60,20.7,7.9,3.5,5.7,0,0,1,2.7,2.8,4.8,7.6,0.5,1,1.6,0.9,1
Meyers Leonard,2012,69,17.5,5.5,2.2,4,0,0.1,1,1.3,1.2,2.5,3.7,0.5,0.2,0.6,0.7,1
Patrick Beverley,2012,41,17.4,5.6,1.9,4.6,0.9,2.3,0.8,1,1.1,1.6,2.7,2.9,0.9,0.5,1.1,1
Jae Crowder,2012,78,17.3,5,1.8,4.7,0.8,2.5,0.6,0.9,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1
Brian Roberts,2012,78,17,7.1,2.7,6.6,0.8,2,0.9,1,0.2,1,1.2,2.8,0.5,0,0.9,1
Terrence Ross,2012,73,17,6.4,2.5,6.3,0.9,2.7,0.4,0.6,0.5,1.5,2,0.7,0.6,0.2,0.7,1
Thomas Robinson,2012,70,15.1,4.8,2,4.6,0,0,0.8,1.6,1.7,2.8,4.5,0.7,0.6,0.4,1.3,1
John Jenkins,2012,61,14.8,6.1,2.1,4.8,0.9,2.3,1,1.1,0.3,1.3,1.5,0.9,0.2,0.2,0.7,1
Draymond Green,2012,79,13.4,2.9,1.1,3.3,0.2,0.8,0.6,0.7,0.7,2.6,3.3,0.7,0.5,0.3,0.7,1
John Henson,2012,63,13.1,6,2.6,5.3,0,0,0.9,1.7,1.8,2.9,4.7,0.5,0.3,0.7,0.8,1
Will Barton,2012,73,12.2,4,1.6,4.2,0.1,0.9,0.7,0.9,0.5,1.5,2,0.8,0.5,0.1,0.8,1
Kyle O'Quinn,2012,57,11.2,4.1,1.8,3.5,0,0,0.5,0.8,1.1,2.5,3.7,0.9,0.2,0.5,0.7,1
Mike Scott,2012,40,9.4,4.6,1.8,3.7,0,0,1.1,1.4,1,1.8,2.8,0.3,0.1,0.1,0.5,1
Jeremy Lamb,2012,23,6.4,3.1,1,3,0.4,1.3,0.6,0.6,0.2,0.6,0.8,0.2,0.1,0.1,0.3,1
MarShon Brooks,2011,56,29.4,12.6,4.9,11.4,0.8,2.7,2,2.6,1.3,2.3,3.6,2.3,0.9,0.3,2.1,0
Chris Singleton,2011,66,21.7,4.6,1.8,4.7,0.7,1.9,0.5,0.7,0.7,2.9,3.5,0.7,1.1,0.5,0.6,0
Charles Jenkins,2011,51,17.5,5.8,2.5,5.7,0.1,0.4,0.7,0.8,0.2,1.2,1.3,3.3,0.7,0.1,1.2,0
Ivan Johnson,2011,56,16.7,6.4,2.5,4.9,0,0.1,1.3,1.8,1.2,2.9,4,0.6,0.8,0.3,1.2,0
Jordan Williams,2011,43,14.8,4.6,1.8,3.5,0,0,1,1.5,1.5,2.1,3.6,0.3,0.5,0.3,0.5,0
Josh Harrellson,2011,37,14.6,4.4,1.7,4,0.5,1.6,0.4,0.7,1.3,2.6,3.9,0.3,0.6,0.5,0.5,0
Greg Stiemsma,2011,55,13.9,2.9,1.2,2.2,0,0,0.5,0.7,0.9,2.3,3.2,0.5,0.7,1.6,0.6,0
Jeremy Tyler,2011,42,13.5,4.9,2.1,5,0,0,0.7,1.2,1.3,2,3.3,0.4,0.4,0.5,0.9,0
Malcolm Lee,2011,19,12.8,3.3,1.2,3.1,0.1,0.5,0.7,0.9,0.5,0.9,1.4,1.6,0.4,0.2,0.9,0
Nolan Smith,2011,44,12.3,3.8,1.5,4.1,0.3,1,0.5,0.6,0.4,0.9,1.3,1.4,0.4,0.1,0.9,0
Cory Higgins,2011,38,11.1,3.9,1.4,4.2,0.1,0.5,1.1,1.6,0.2,0.7,0.9,0.9,0.1,0.2,1,0
Andrew Goudelock,2011,40,10.5,4.4,1.7,4.4,0.7,1.9,0.3,0.3,0.1,0.7,0.8,0.5,0.1,0,0.5,0
Mickell Gladness,2011,26,9.7,2.2,1,2.3,0,0,0.2,0.5,0.5,1.7,2.2,0.2,0.1,0.8,0.3,0
Jeremy Pargo,2011,44,9.6,2.9,1.1,3.4,0.2,0.9,0.4,0.6,0.3,0.6,0.8,1.3,0.3,0,1.1,0
JaJuan Johnson,2011,36,8.3,3.2,1.5,3.4,0,0,0.2,0.3,0.6,1.1,1.6,0.2,0.1,0.4,0.4,0
Brandon Knight,2011,66,32.3,12.8,4.8,11.7,1.6,4.2,1.6,2.1,0.5,2.7,3.2,3.8,0.7,0.1,2.6,1
Iman Shumpert,2011,59,28.9,9.5,3.6,9.1,0.8,2.7,1.5,1.8,0.7,2.4,3.2,2.8,1.7,0.1,1.9,1
Chandler Parsons,2011,63,28.6,9.5,3.9,8.7,1,2.8,0.7,1.2,1.4,3.3,4.8,2.1,1.2,0.5,1.3,1
Kemba Walker,2011,66,27.2,12.1,4.3,11.6,1,3.4,2.5,3.2,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1
Isaiah Thomas,2011,65,25.5,11.5,3.9,8.8,1.3,3.4,2.4,2.8,0.7,1.8,2.6,4.1,0.8,0.1,1.6,1
Klay Thompson,2011,66,24.4,12.5,4.8,10.9,1.7,4.1,1.2,1.4,0.4,2.1,2.4,2,0.7,0.3,1.6,1
Kawhi Leonard,2011,64,24,7.9,3.1,6.3,0.6,1.7,1.1,1.4,1.6,3.5,5.1,1.1,1.3,0.4,0.7,1
Kenneth Faried,2011,46,22.5,10.2,3.9,6.7,0,0,2.4,3.6,3.1,4.6,7.7,0.8,0.7,1,1.2,1
Derrick Williams,2011,66,21.5,8.8,3.1,7.5,0.6,2.1,2.1,3,1.2,3.5,4.7,0.6,0.5,0.5,1.2,1
Donald Sloan,2011,33,20.3,5.5,2.4,6,0.1,0.8,0.7,0.9,0.5,1.5,2,3.2,0.4,0.1,1.5,1
Markieff Morris,2011,63,19.5,7.4,2.8,6.9,0.7,2,1.2,1.7,1.1,3.3,4.4,1,0.7,0.7,1.1,1
Norris Cole,2011,65,19.4,6.8,2.7,6.9,0.3,1.2,1,1.3,0.3,1.1,1.4,2,0.7,0,1.6,1
Jimmer Fredette,2011,61,18.6,7.6,2.8,7.3,1.3,3.5,0.7,0.8,0.3,0.9,1.2,1.8,0.5,0.1,1.1,1
Alec Burks,2011,59,15.9,7.2,2.6,6.1,0.3,0.8,1.8,2.4,1,1.3,2.2,0.9,0.5,0.1,0.9,1
Lavoy Allen,2011,41,15.2,4.1,1.9,4.1,0,0,0.3,0.3,1.1,3,4.2,0.8,0.3,0.4,0.5,1
Lance Thomas,2011,42,15,4,1.4,3,0,0,1.2,1.5,1.2,1.8,3,0.3,0.2,0.2,0.6,1
Shelvin Mack,2011,64,12.2,3.6,1.4,3.4,0.2,0.7,0.7,0.9,0.2,1.3,1.4,2,0.4,0,0.8,1
Jon Leuer,2011,46,12.1,4.7,2.1,4.2,0.1,0.2,0.5,0.6,1,1.6,2.6,0.5,0.3,0.4,0.4,1
Tobias Harris,2011,42,11.4,5,1.9,4,0.1,0.5,1,1.3,0.7,1.7,2.4,0.5,0.3,0.2,0.7,1
Jordan Hamilton,2011,26,9.9,4.4,1.8,4.3,0.7,1.8,0.1,0.2,0.4,2,2.4,0.8,0.1,0.1,0.6,1
E'Twaun Moore,2011,38,8.7,2.9,1.1,3,0.4,1.2,0.2,0.2,0.1,0.8,0.9,0.9,0.3,0.1,0.6,1
Jimmy Butler,2011,42,8.5,2.6,0.8,1.9,0,0.3,1,1.3,0.5,0.8,1.3,0.3,0.3,0.1,0.3,1
Jordan Crawford,2010,42,24.5,11.7,4.6,11.9,0.8,3,1.7,2,0.7,1.8,2.5,2.8,0.9,0.1,2,0
Manny Harris,2010,54,17.3,5.9,2,5.4,0.6,1.7,1.3,1.7,0.7,1.9,2.6,1.6,0.6,0.1,1.2,0
Luke Harangody,2010,49,13.1,3.9,1.6,4.2,0.3,1.3,0.4,0.5,0.8,2.1,2.9,0.6,0.3,0.3,0.3,0
Ben Uzoh,2010,42,10.4,3.8,1.5,3.4,0.1,0.2,0.8,1.3,0.7,0.7,1.5,1.6,0.3,0.2,0.6,0
Lazar Hayward,2010,42,10,3.8,1.3,3.7,0.4,1.4,0.8,1,0.5,1.1,1.7,0.7,0.3,0.2,0.5,0
Armon Johnson,2010,38,7.3,2.9,1.2,2.7,0.1,0.3,0.3,0.6,0.3,0.7,0.9,1.2,0.1,0,1,0
Mustafa Shakur,2010,22,7.2,2.3,1,2.7,0,0.5,0.4,0.7,0.3,0.7,1,1.1,0.2,0.1,0.8,0
Derrick Caracter,2010,41,5.2,2,0.8,1.6,0,0,0.4,0.6,0.5,0.6,1,0.2,0.1,0.2,0.5,0
Blake Griffin,2010,82,38,22.5,8.5,16.8,0.1,0.3,5.4,8.5,3.3,8.8,12.1,3.8,0.8,0.6,2.7,1
John Wall,2010,69,37.8,16.4,5.8,14.1,0.5,1.7,4.4,5.7,0.5,4.1,4.6,8.3,1.8,0.5,3.8,1
Landry Fields,2010,82,31,9.7,3.6,7.3,1,2.7,1.4,1.8,1.3,5.1,6.4,1.9,1,0.2,1.3,1
DeMarcus Cousins,2010,81,28.5,14.1,5.3,12.4,0,0.2,3.4,5,2.7,6,8.6,2.5,1.1,0.8,3.3,1
Greg Monroe,2010,80,27.8,9.4,3.8,6.9,0,0,1.8,2.9,3.1,4.4,7.5,1.3,1.2,0.6,1,1
Wesley Johnson,2010,79,26.2,9,3.4,8.6,1.3,3.7,0.8,1.2,0.6,2.4,3,1.9,0.7,0.7,1.2,1
Ed Davis,2010,65,24.6,7.7,3.3,5.7,0,0,1.1,2,2.6,4.5,7.1,0.6,0.6,1,0.7,1
Evan Turner,2010,78,23,7.2,2.9,6.8,0.2,0.6,1.3,1.6,0.5,3.4,3.9,2,0.6,0.2,1,1
Eric Bledsoe,2010,81,22.7,6.7,2.5,6,0.4,1.4,1.2,1.6,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1
Gary Neal,2010,80,21.1,9.8,3.6,7.9,1.6,3.9,1.1,1.3,0.3,2.2,2.5,1.2,0.3,0.1,1,1
Paul George,2010,61,20.7,7.8,2.9,6.5,0.7,2.3,1.3,1.7,0.6,3.1,3.7,1.1,1,0.4,1.1,1
Derrick Favors,2010,78,19.7,6.8,2.8,5.3,0,0,1.3,2.2,2.2,3.1,5.3,0.5,0.4,0.9,1,1
Al-Farouq Aminu,2010,81,17.9,5.6,2,5,0.6,1.8,1.1,1.5,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1
Ekpe Udoh,2010,58,17.8,4.1,1.7,3.8,0,0,0.7,1.1,1.4,1.7,3.1,0.7,0.4,1.5,0.8,1
Gordon Hayward,2010,72,16.9,5.4,2,4.1,0.5,1,1,1.3,0.6,1.4,1.9,1.1,0.4,0.3,1,1
Patrick Patterson,2010,52,16.7,6.3,2.9,5.1,0,0,0.6,0.8,1.7,2.2,3.8,0.8,0.3,0.7,0.6,1
Trevor Booker,2010,65,16.4,5.3,2.1,3.9,0,0,1,1.6,1.5,2.4,3.9,0.5,0.5,0.7,0.6,1
Larry Sanders,2010,60,14.5,4.3,1.9,4.5,0,0,0.5,0.8,1,2,3,0.3,0.4,1.2,0.6,1
Quincy Pondexter,2010,66,11.1,2.8,1.1,2.7,0.3,0.8,0.4,0.5,0.3,1,1.3,0.4,0.3,0.1,0.2,1
Ish Smith,2010,43,10.3,2.3,1,2.7,0.1,0.2,0.3,0.5,0.2,0.9,1.1,1.8,0.4,0.1,0.8,1
Jeremy Evans,2010,49,9.4,3.6,1.6,2.3,0,0,0.5,0.8,0.7,1.2,2,0.5,0.3,0.3,0.4,1
Cole Aldrich,2010,18,7.9,1,0.4,0.8,0,0,0.1,0.2,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1
Jonny Flynn,2009,81,28.9,13.5,4.9,11.8,1,2.7,2.8,3.3,0.3,2.1,2.4,4.4,1,0,2.9,0
Terrence Williams,2009,78,22.6,8.4,3.3,8.3,0.4,1.3,1.3,1.8,0.6,3.9,4.5,2.9,0.6,0.1,1.6,0
Sam Young,2009,80,16.5,7.4,2.8,6.2,0.1,0.7,1.7,2.2,1,1.6,2.5,0.7,0.4,0.3,1.2,0
Chris Hunter,2009,60,13.1,4.5,1.8,3.6,0,0.1,0.9,1.2,0.9,1.9,2.8,0.6,0.2,0.6,0.5,0
Jon Brockman,2009,52,12.6,2.8,1.1,2,0,0,0.7,1.2,2,2.1,4.1,0.4,0.3,0.1,0.4,0
Derrick Brown,2009,57,9.4,3.3,1.2,2.6,0,0.1,0.8,1.3,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0
DaJuan Summers,2009,44,9.2,3,1,3,0.3,1,0.6,0.9,0.3,0.7,1,0.4,0.2,0.2,0.4,0
Cedric Jackson,2009,12,6.3,1.7,0.5,1.7,0.1,0.5,0.6,1,0.2,0.5,0.7,1.2,0.3,0.2,0.9,0
Marcus Landry,2009,18,6.2,2.4,0.9,2.4,0.5,1.6,0.2,0.3,0.3,0.8,1.1,0,0.1,0.1,0.3,0
Lester Hudson,2009,25,5.2,2.3,0.8,2.1,0.2,0.6,0.4,0.5,0.3,0.4,0.7,0.5,0.3,0.1,0.6,0
Tyreke Evans,2009,72,37.2,20.1,7.4,16.2,0.5,2,4.8,6.5,0.9,4.4,5.3,5.8,1.5,0.4,3,1
Stephen Curry,2009,80,36.2,17.5,6.6,14.3,2.1,4.8,2.2,2.5,0.6,3.9,4.5,5.9,1.9,0.2,3,1
Brandon Jennings,2009,82,32.6,15.5,5.5,14.8,1.8,4.7,2.7,3.3,0.6,2.8,3.4,5.7,1.3,0.2,2.4,1
Darren Collison,2009,76,27.8,12.4,4.9,10.4,0.6,1.5,1.9,2.3,0.5,2,2.5,5.7,1,0.1,2.7,1
Taj Gibson,2009,82,26.9,9,3.8,7.7,0,0,1.4,2.1,2.8,4.7,7.5,0.9,0.6,1.3,1.4,1
Marcus Thornton,2009,73,25.6,14.5,5.5,12.1,1.6,4.3,2,2.4,1,1.9,2.9,1.6,0.8,0.1,1,1
Wesley Matthews,2009,82,24.7,9.4,3.3,6.9,0.8,2,2,2.4,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1
Jrue Holiday,2009,73,24.2,8,3.2,7.1,0.8,2.2,0.9,1.2,0.8,1.8,2.6,3.8,1.1,0.3,2.1,1
James Harden,2009,76,22.9,9.9,3.1,7.6,1.2,3.3,2.6,3.2,0.6,2.6,3.2,1.8,1.1,0.3,1.4,1
DeMar DeRozan,2009,77,21.6,8.6,3.3,6.6,0.1,0.2,1.9,2.5,0.9,2,2.9,0.7,0.6,0.2,0.8,1
Ty Lawson,2009,65,20.3,8.3,3.1,6,0.5,1.3,1.6,2.2,0.6,1.3,1.9,3.1,0.7,0,1.3,1
Chase Budinger,2009,74,20.1,8.9,3.4,7.6,1.2,3.4,0.9,1.2,0.5,2.5,3,1.2,0.5,0.1,0.7,1
Toney Douglas,2009,56,19.4,8.6,3.2,7,1.2,3.1,1,1.2,0.7,1.2,1.9,2,0.8,0.1,1,1
DeJuan Blair,2009,82,18.2,7.8,3.4,6,0,0,1.1,2,2.4,4,6.4,0.8,0.6,0.5,1.4,1
Wayne Ellington,2009,76,18.2,6.6,2.5,5.9,0.8,2.1,0.8,0.9,0.4,1.7,2.1,1,0.3,0.1,1,1
Eric Maynor,2009,81,15.7,4.7,1.9,4.5,0.3,0.9,0.6,0.9,0.3,1.3,1.6,3.3,0.5,0.1,1.1,1
A.J. Price,2009,56,15.4,7.3,2.6,6.3,1.1,3.1,1.1,1.3,0.2,1.4,1.6,1.9,0.6,0.1,1.1,1
Jordan Hill,2009,47,13.3,5.2,2.1,4.3,0,0,1,1.4,1.6,2.1,3.7,0.4,0.3,0.5,0.6,1
Austin Daye,2009,69,13.3,5.1,2,4.3,0.4,1.4,0.7,0.8,0.5,2,2.5,0.5,0.4,0.4,0.7,1
Garrett Temple,2009,27,12.4,5,1.6,3.7,0.5,1.4,1.3,1.9,0.2,0.9,1.1,0.8,0.5,0.2,1,1
Jodie Meeks,2009,60,12,4.7,1.7,4.5,0.7,2.2,0.5,0.7,0.1,1.5,1.6,0.7,0.3,0.1,0.4,1
James Johnson,2009,65,11.6,3.9,1.5,3.2,0.2,0.7,0.8,1.1,0.5,1.4,2,0.7,0.3,0.7,0.9,1
Dante Cunningham,2009,63,11.2,3.9,1.7,3.4,0,0,0.5,0.8,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1
DeMarre Carroll,2009,71,11.2,2.9,1.2,3.1,0,0.1,0.5,0.7,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1
Jeff Ayres,2009,39,10.4,2.7,1.1,1.7,0,0,0.5,0.5,0.6,1.9,2.5,0,0.2,0.4,0.3,1
Jeff Teague,2009,71,10.1,3.2,1.3,3.2,0.1,0.5,0.6,0.7,0.1,0.9,0.9,1.7,0.5,0.1,0.7,1
Gerald Henderson,2009,43,8.3,2.6,0.9,2.4,0.1,0.4,0.8,1.1,0.3,0.9,1.3,0.3,0.2,0.2,0.3,1
Earl Clark,2009,51,7.5,2.7,1.1,3,0,0.1,0.5,0.7,0.4,0.9,1.2,0.4,0.1,0.3,0.5,1
Greg Oden,2008,61,21.5,8.9,3.2,5.8,0,0,2.4,3.7,2.8,4.2,7,0.5,0.4,1.1,1.4,0
Kyle Weaver,2008,56,20.8,5.3,2,4.4,0.6,1.7,0.7,1,0.6,1.8,2.3,1.8,0.8,0.5,1.2,0
Mike Taylor,2008,51,15.1,5.7,2.2,5.2,0.3,0.8,1.1,1.6,0.4,1.3,1.7,2.1,0.7,0,1.4,0
Bobby Brown,2008,68,13.7,5.3,2.1,5.3,0.7,1.9,0.5,0.6,0.2,0.6,0.8,1.7,0.3,0,0.9,0
Rob Kurz,2008,40,11.1,3.9,1.3,3.3,0.4,1,1,1.3,0.8,1.2,2,0.5,0.3,0.5,0.4,0
Darnell Jackson,2008,51,8.4,1.9,0.7,1.7,0,0,0.5,0.7,0.6,1.1,1.7,0.2,0.2,0.1,0.3,0
Sean Singletary,2008,37,8.2,2.4,0.8,2.3,0.3,0.7,0.5,0.6,0.3,0.7,0.9,0.8,0.3,0,0.6,0
O.J. Mayo,2008,82,38,18.5,6.9,15.6,1.8,4.6,3,3.4,0.7,3.1,3.8,3.2,1.1,0.2,2.8,1
Derrick Rose,2008,81,37,16.8,7.1,14.9,0.2,0.9,2.4,3.1,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1
Eric Gordon,2008,78,34.3,16.1,5.3,11.6,1.7,4.3,3.8,4.5,0.6,2,2.6,2.8,1,0.5,2.1,1
Russell Westbrook,2008,82,32.5,15.3,5.3,13.4,0.4,1.6,4.3,5.2,2.2,2.7,4.9,5.3,1.3,0.2,3.3,1
Mario Chalmers,2008,82,32,10,3.4,8.1,1.4,3.8,1.8,2.4,0.5,2.3,2.8,4.9,1.9,0.1,2,1
Brook Lopez,2008,82,30.5,13,5.5,10.3,0,0,2.1,2.6,2.7,5.4,8.1,1,0.5,1.8,1.8,1
Jason Thompson,2008,82,28.1,11.1,4.3,8.7,0,0.1,2.4,3.5,2.9,4.5,7.4,1.1,0.6,0.7,1.8,1
D.J. Augustin,2008,72,26.5,11.8,3.7,8.6,1.5,3.4,2.9,3.2,0.2,1.6,1.8,3.5,0.6,0,1.6,1
Kevin Love,2008,81,25.3,11.1,3.9,8.5,0,0.2,3.3,4.1,3.4,5.7,9.1,1,0.4,0.6,1.5,1
Courtney Lee,2008,77,25.2,8.4,3.2,7,1.1,2.6,1,1.2,0.2,2.1,2.3,1.2,1,0.2,0.9,1
Michael Beasley,2008,81,24.8,13.9,5.6,11.8,0.4,1,2.3,3,1.4,4.1,5.4,1,0.5,0.5,1.5,1
Brandon Rush,2008,75,24,8.1,3.2,7.7,1,2.8,0.6,0.9,0.5,2.7,3.1,0.9,0.5,0.5,1,1
Anthony Morrow,2008,67,22.6,10.1,3.8,8,1.3,2.7,1.2,1.4,1.2,1.8,3,1.2,0.5,0.2,0.8,1
