Name,Year Drafted,GP,MIN,PTS,FGM,FGA,3P Made,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,Last 5 Years?
Ryan Anderson,2008,66,19.9,7.4,2.4,6.2,1,2.9,1.5,1.8,1.6,3.1,4.7,0.8,0.7,0.3,0.9,1
Darrell Arthur,2008,76,19.3,5.6,2.5,5.7,0,0,0.5,0.8,1.4,3.1,4.6,0.6,0.7,0.7,0.6,1
George Hill,2008,77,16.5,5.7,1.9,4.8,0.3,0.9,1.5,1.9,0.4,1.7,2.1,1.8,0.6,0.3,1,1
Marreese Speights,2008,79,16,7.7,3.2,6.4,0,0.1,1.3,1.7,1.6,2.2,3.7,0.4,0.3,0.7,0.6,1
JaVale McGee,2008,75,15.2,6.5,2.5,5.2,0,0,1.4,2.2,1.6,2.3,3.9,0.3,0.4,1,0.8,1
DeAndre Jordan,2008,53,14.5,4.3,1.8,2.8,0,0,0.8,2.1,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1
Roy Hibbert,2008,70,14.4,7.1,2.8,6,0,0,1.4,2.1,1.6,1.8,3.5,0.7,0.3,1.1,0.8,1
Chris Douglas-Roberts,2008,44,13.3,4.9,1.8,4,0.1,0.3,1.2,1.4,0.3,0.8,1.1,1.2,0.3,0.2,0.7,1
Jerryd Bayless,2008,53,12.4,4.3,1.3,3.6,0.1,0.5,1.6,1.9,0.2,0.9,1.1,1.5,0.3,0,1.1,1
Kosta Koufos,2008,48,11.8,4.7,2,3.9,0,0,0.8,1.1,1,1.8,2.9,0.4,0.3,0.7,0.5,1
Anthony Tolliver,2008,19,10.9,2.7,1,3.4,0.5,2.2,0.3,0.5,0.6,1.5,2.2,0.9,0.3,0.1,0.4,1
Robin Lopez,2008,60,10.2,3.1,1.2,2.3,0,0,0.8,1.1,0.9,1.1,2,0.1,0.2,0.7,0.5,1
Al Thornton,2007,79,27.3,12.7,4.7,11,0.5,1.6,2.7,3.6,1.2,3.3,4.5,1.2,0.6,0.5,1.6,0
Sean Williams,2007,73,17.5,5.6,2.2,4.2,0,0,1.1,1.8,1.6,2.8,4.4,0.4,0.4,1.4,1,0
Acie Law,2007,56,15.4,4.2,1.7,4.2,0.1,0.6,0.7,0.9,0.2,0.8,1,2,0.5,0,1,0
Javaris Crittenton,2007,50,13.6,5.6,2,4.7,0.2,0.7,1.4,2.1,0.5,1.7,2.2,1,0.4,0,1.1,0
Julian Wright,2007,57,11.2,3.9,1.6,3,0.2,0.4,0.6,0.9,0.6,1.5,2.1,0.7,0.5,0.2,0.6,0
Chris Richard,2007,52,10.7,1.9,0.8,1.7,0,0,0.3,0.5,1,1.6,2.6,0.3,0.2,0.2,0.5,0
Nick Fazekas,2007,26,10.3,4.1,1.8,3.2,0,0.1,0.6,0.8,1.3,2.1,3.4,0.4,0.3,0.4,0.5,0
Jermareo Davidson,2007,38,8.5,3.2,1.3,3.3,0,0,0.5,0.7,0.6,1.1,1.6,0.3,0.2,0.4,0.5,0
Mario West,2007,64,4.2,0.9,0.3,0.8,0,0.1,0.3,0.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,0
Demetris Nichols,2007,14,3.1,1.1,0.4,1.6,0.2,0.9,0,0,0,0.4,0.4,0.1,0,0.2,0.3,0
Kevin Durant,2007,80,34.6,20.3,7.3,17.1,0.7,2.6,4.9,5.6,0.9,3.5,4.3,2.4,1,0.9,2.9,1
Jeff Green,2007,80,28.2,10.5,4,9.4,0.3,1,2.2,3,1.3,3.5,4.7,1.5,0.6,0.6,2,1
Jamario Moon,2007,78,27.8,8.5,3.6,7.4,0.5,1.6,0.8,1.1,1.2,5,6.2,1.2,1,1.4,0.7,1
Mike Conley,2007,53,26.1,9.4,3.6,8.3,0.6,1.7,1.7,2.3,0.4,2.2,2.6,4.2,0.8,0,1.7,1
Daequan Cook,2007,59,24.4,8.8,3.3,8.7,1.3,4,0.8,1,0.3,2.7,3,1.3,0.4,0.1,1.1,1
Corey Brewer,2007,79,22.8,5.8,2.3,6.2,0.1,0.5,1.1,1.4,1,2.7,3.7,1.4,1,0.3,1.1,1
Thaddeus Young,2007,74,21,8.2,3.6,6.6,0.1,0.3,1,1.4,1.6,2.6,4.2,0.8,1,0.1,0.9,1
Joakim Noah,2007,74,20.7,6.6,2.4,5,0,0,1.8,2.6,2.4,3.3,5.6,1.1,0.9,0.9,1.2,1
Wilson Chandler,2007,35,19.6,7.3,3,6.9,0.3,0.9,1,1.5,1.1,2.5,3.6,0.9,0.4,0.5,0.8,1
Rodney Stuckey,2007,57,19,7.6,2.7,6.7,0.1,0.3,2.2,2.7,0.6,1.7,2.3,2.8,0.9,0.1,1.4,1
Jared Dudley,2007,73,19,5.8,2.2,4.8,0.1,0.6,1.2,1.6,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1
Carl Landry,2007,42,16.9,8.1,3.2,5.2,0,0,1.7,2.6,2.3,2.6,4.9,0.5,0.4,0.2,0.6,1
Nick Young,2007,75,15.4,7.5,2.8,6.4,0.5,1.3,1.3,1.7,0.3,1.2,1.5,0.8,0.5,0.1,1.3,1
Jason Smith,2007,76,14.6,4.5,1.9,4.1,0.1,0.2,0.7,1.1,1,2,3,0.3,0.3,0.7,0.6,1
Glen Davis,2007,69,13.6,4.5,1.6,3.2,0,0,1.4,2.2,1.4,1.6,3,0.4,0.5,0.3,0.9,1
Spencer Hawes,2007,71,13.1,4.7,2.1,4.5,0.1,0.3,0.5,0.8,1,2.3,3.2,0.6,0.2,0.6,0.8,1
Arron Afflalo,2007,75,12.9,3.7,1.3,3.2,0.1,0.6,0.9,1.2,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1
Aaron Brooks,2007,51,11.9,5.2,1.8,4.4,0.7,2.1,0.8,1,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1
Aaron Gray,2007,61,10,4.3,1.7,3.3,0,0,0.9,1.6,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1
Dominic McGuire,2007,70,9.9,1.3,0.6,1.5,0,0.1,0.2,0.5,0.8,1.2,2,0.6,0.3,0.4,0.6,1
Brandan Wright,2007,38,9.9,4,1.6,2.9,0,0,0.7,1.1,1,1.6,2.6,0.2,0.2,0.6,0.3,1
Adam Morrison,2006,78,29.8,11.8,4.6,12.1,1.1,3.3,1.5,2.2,0.7,2.3,2.9,2.1,0.4,0.1,1.7,0
Tarence Kinsey,2006,48,20.1,7.7,2.9,6.3,0.3,1,1.6,2,0.6,1.4,2,0.9,1.1,0,1,0
Marcus Williams,2006,79,16.6,6.8,2.6,6.7,0.6,2.1,0.9,1.1,0.4,1.7,2.1,3.3,0.4,0,1.8,0
Allan Ray,2006,47,15.1,6.2,2.1,5.5,1,2.5,0.9,1.2,0.4,1.1,1.5,0.9,0.4,0.1,0.9,0
Mardy Collins,2006,52,14.9,4.5,1.7,4.4,0.3,0.9,0.9,1.6,0.5,1.5,2,1.6,0.6,0.1,1.1,0
Alexander Johnson,2006,59,12.8,4.4,1.5,2.9,0,0,1.3,2,0.8,2.2,3.1,0.3,0.4,0.6,0.8,0
Cedric Simmons,2006,43,12.4,2.9,1.3,3.1,0,0,0.4,0.8,1,1.5,2.5,0.3,0.2,0.5,0.5,0
David Noel,2006,68,11.6,2.7,1,2.6,0.3,0.8,0.5,0.6,0.6,1.2,1.8,1,0.4,0.1,0.6,0
Josh Boone,2006,61,11,4.2,1.6,2.8,0,0,0.9,1.7,1,1.8,2.9,0.2,0.2,0.3,0.5,0
Lynn Greer,2006,41,10.5,4.1,1.5,3.4,0.4,1.3,0.7,0.8,0,0.6,0.7,1.3,0.4,0,0.4,0
Dee Brown,2006,49,9.2,1.9,0.7,2,0.1,0.6,0.5,0.8,0.2,0.7,0.8,1.7,0.5,0.1,0.6,0
Quincy Douby,2006,42,8.5,2.8,1.1,3,0.3,1.2,0.3,0.4,0.3,0.6,0.9,0.4,0.4,0.1,0.4,0
Hassan Adams,2006,61,8.1,2.9,1.2,2.2,0,0,0.4,0.6,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0
Andre Brown,2006,38,7.1,2.4,1.1,1.9,0,0,0.2,0.4,0.7,1.3,1.9,0.1,0.2,0.1,0.8,0
Brandon Roy,2006,57,35.4,16.8,6.1,13.4,1,2.6,3.5,4.2,1,3.4,4.4,4,1.2,0.2,2,1
Rudy Gay,2006,78,27,10.8,4.1,9.7,0.7,1.8,1.9,2.7,1.2,3.3,4.5,1.3,0.9,0.9,1.8,1
Rajon Rondo,2006,78,23.5,6.4,2.4,5.8,0.1,0.4,1.5,2.4,0.9,2.8,3.7,3.8,1.6,0.1,1.8,1
Randy Foye,2006,82,22.9,10.1,3.7,8.4,0.8,2.3,2,2.3,0.6,2.1,2.7,2.8,0.7,0.3,1.9,1
LaMarcus Aldridge,2006,63,22.1,9,3.8,7.6,0,0,1.3,1.8,2.3,2.7,5,0.4,0.3,1.2,0.7,1
Craig Smith,2006,82,18.7,7.4,3,5.6,0,0.1,1.4,2.3,1.8,3.3,5.1,0.6,0.6,0.2,0.9,1
Shelden Williams,2006,81,18.7,5.5,2,4.5,0,0,1.4,1.8,1.6,3.8,5.4,0.5,0.6,0.5,1.2,1
Paul Millsap,2006,82,18,6.8,2.5,4.9,0,0,1.7,2.5,2.2,2.9,5.2,0.8,0.8,0.9,1.1,1
Rodney Carney,2006,67,17.4,6.6,2.7,5.9,0.4,1.1,0.8,1.3,0.6,1.3,1.9,0.4,0.6,0.3,0.6,1
Daniel Gibson,2006,60,16.5,4.6,1.6,3.9,0.9,2.1,0.5,0.7,0.5,1.1,1.5,1.2,0.4,0.1,0.7,1
Renaldo Balkman,2006,68,15.6,4.9,2,4,0.1,0.4,0.8,1.3,1.4,2.9,4.3,0.6,0.8,0.7,0.7,1
Jordan Farmar,2006,72,15.1,4.4,1.7,4.1,0.6,1.9,0.4,0.5,0.3,1.3,1.7,1.9,0.6,0.1,1,1
Tyrus Thomas,2006,72,13.4,5.2,1.9,3.9,0,0,1.5,2.4,1.2,2.5,3.7,0.6,0.6,1.1,1.3,1
Shawne Williams,2006,46,12.1,3.9,1.6,3.5,0.4,1.1,0.2,0.4,0.7,1.1,1.8,0.5,0.1,0.2,0.5,1
Ronnie Brewer,2006,56,12.1,4.6,1.8,3.4,0,0.2,1,1.5,0.7,0.7,1.3,0.4,0.7,0.1,0.4,1
Solomon Jones,2006,58,11.5,3.3,1.1,2.2,0,0,1,1.3,0.8,1.5,2.3,0.2,0.2,0.7,0.4,1
Leon Powe,2006,63,11.4,4.2,1.3,2.8,0,0,1.7,2.3,1.5,1.9,3.4,0.2,0.2,0.3,0.8,1
Hilton Armstrong,2006,56,11.3,3.1,1.2,2.2,0,0,0.7,1.2,1,1.6,2.7,0.2,0.2,0.5,0.6,1
Chris Quinn,2006,42,9.7,3.4,1.1,3.1,0.5,1.4,0.6,0.9,0.1,0.6,0.7,1.5,0.4,0,0.5,1
Bobby Jones,2006,44,7.6,2.5,1,2.1,0,0.2,0.5,0.9,0.5,0.8,1.3,0.4,0.3,0,0.4,1
Steve Novak,2006,35,5.5,1.5,0.5,1.4,0.4,1.1,0.1,0.1,0.1,0.6,0.7,0.2,0.1,0,0.1,1
Salim Stoudamire,2005,61,20.3,9.7,3.3,8.1,1.3,3.5,1.6,1.8,0.2,1.7,1.9,1.2,0.4,0.1,1.3,0
Rashad McCants,2005,79,17.2,7.9,3.1,6.8,0.8,2.3,1,1.3,0.4,1.4,1.8,0.8,0.6,0.3,1.1,0
Orien Greene,2005,80,15.4,3.2,1.3,3.2,0.1,0.5,0.6,0.9,0.5,1.4,1.8,1.6,1,0.1,1.4,0
Daniel Ewing,2005,66,14.7,3.8,1.5,3.9,0.3,1.2,0.5,0.7,0.3,0.9,1.3,1.3,0.6,0.1,0.9,0
Gerald Fitch,2005,18,13.3,4.7,1.7,4.9,0.4,1.4,0.9,1.3,0.4,1.3,1.7,1.8,0.4,0.3,0.8,0
Wayne Simien,2005,43,9.6,3.4,1.3,2.8,0,0,0.7,0.8,0.9,1.2,2,0.2,0.3,0,0.6,0
Donell Taylor,2005,51,9.1,2.7,1,2.7,0.1,0.3,0.6,0.8,0.3,0.7,1,0.9,0.6,0.1,0.7,0
Kevin Burleson,2005,39,8.7,1.8,0.6,2.3,0.3,1.4,0.4,0.4,0.1,0.6,0.7,1.2,0.7,0.1,0.6,0
Lawrence Roberts,2005,33,5.5,1.5,0.6,1.3,0,0.1,0.3,0.7,0.8,0.7,1.5,0.2,0.2,0.1,0.1,0
Chris Paul,2005,78,36,16.1,5.2,12.1,0.6,2.3,5.1,6,0.8,4.3,5.1,7.8,2.2,0.1,2.4,1
Raymond Felton,2005,80,30.1,11.9,4.3,11,1.2,3.4,2,2.8,1,2.4,3.3,5.6,1.3,0.1,2.3,1
Charlie Villanueva,2005,81,29.1,13,5.4,11.6,0.9,2.6,1.4,2,2.2,4.2,6.4,1.1,0.7,0.8,1.2,1
Luther Head,2005,80,28.9,8.8,3.2,7.9,1.4,3.9,1.1,1.5,0.4,2.9,3.3,2.7,1.1,0.1,1.5,1
Deron Williams,2005,80,28.8,10.8,4.2,10.1,1.1,2.7,1.2,1.7,0.4,2,2.4,4.5,0.8,0.2,1.8,1
Marvin Williams,2005,79,24.7,8.5,3,6.7,0.2,0.7,2.4,3.2,1.5,3.3,4.8,0.8,0.6,0.3,1.1,1
Channing Frye,2005,65,24.2,12.3,4.7,9.8,0,0.1,2.9,3.5,2.1,3.6,5.8,0.8,0.5,0.7,1.5,1
Danny Granger,2005,78,22.6,7.5,2.8,6.1,0.4,1.2,1.5,1.9,1.7,3.2,4.9,1.2,0.7,0.8,1,1
Ryan Gomes,2005,61,22.6,7.6,2.8,5.8,0,0.1,1.8,2.4,1.7,3.2,4.9,1,0.6,0.1,0.9,1
Nate Robinson,2005,72,21.4,9.3,3.2,7.8,0.8,2,2.1,2.8,0.8,1.5,2.3,2,0.8,0,1.6,1
Jarrett Jack,2005,79,20.2,6.7,2.4,5.4,0.3,1,1.6,2,0.2,1.8,2,2.8,0.5,0,1.3,1
Joey Graham,2005,80,19.8,6.7,2.5,5.2,0.4,1.1,1.4,1.7,0.7,2.3,3.1,0.8,0.5,0.2,1.1,1
Monta Ellis,2005,49,18.1,6.8,2.7,6.5,0.6,1.7,0.9,1.2,0.4,1.7,2.1,1.6,0.7,0.2,1.2,1
Martell Webster,2005,61,17.5,6.6,2.3,5.7,1.1,3,1,1.2,0.5,1.7,2.1,0.6,0.3,0.2,0.7,1
David Lee,2005,67,16.9,5.1,2,3.4,0,0,1.1,1.8,1.6,2.9,4.5,0.6,0.5,0.3,0.8,1
Alan Anderson,2005,36,15.7,5.8,2.1,5,0.7,1.6,0.9,1.1,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1
Ike Diogu,2005,69,14.9,7,2.5,4.8,0,0,2,2.4,1.4,1.9,3.3,0.4,0.2,0.4,1.1,1
James Singleton,2005,59,12.8,3.4,1.3,2.6,0.2,0.3,0.7,0.8,1.1,2.3,3.3,0.5,0.3,0.4,0.5,1
Josh Powell,2005,37,11.6,3,1,2.2,0,0,1,1.2,0.8,1.4,2.2,0.2,0.2,0.1,0.6,1
Hakim Warrick,2005,68,10.6,4.1,1.5,3.4,0,0,1.1,1.7,0.6,1.5,2.1,0.4,0.2,0.3,0.8,1
Antoine Wright,2005,39,9.5,1.8,0.7,2.1,0,0.4,0.3,0.6,0.2,0.6,0.8,0.3,0.1,0.1,0.5,1
Shavlik Randolph,2005,57,8.5,2.3,0.8,1.7,0,0,0.8,1.2,1,1.4,2.3,0.3,0.3,0.2,0.4,1
Andrew Bynum,2005,46,7.3,1.6,0.7,1.8,0,0,0.2,0.6,0.7,1,1.7,0.2,0.1,0.5,0.4,1
Matt Freije,2004,23,19.2,4,1.6,5.5,0.6,2.3,0.2,0.3,0.7,2,2.7,0.9,0.6,0.1,0.7,0
David Harrison,2004,43,17.7,6.1,2.5,4.3,0,0,1.2,2.1,1.1,2,3.1,0.3,0.4,1.3,1.2,0
Jackson Vroman,2004,46,15.3,4.6,1.8,4.3,0,0.1,1,1.6,1.4,2.4,3.8,0.9,0.5,0.4,1.4,0
Billy Thomas,2004,25,14.2,3.7,1.4,3.8,0.7,2.2,0.3,0.4,0.3,1.2,1.4,0.7,0.6,0,0.4,0
Kirk Snyder,2004,68,13.3,5,1.8,4.8,0.4,1.3,0.9,1.4,0.7,1,1.8,0.5,0.4,0.3,0.8,0
Andre Barrett,2004,38,12.7,3.1,1.2,3.3,0.4,1.4,0.4,0.5,0.3,0.8,1.1,1.8,0.5,0,0.7,0
Lionel Chalmers,2004,36,12,3.1,1.2,3.5,0.3,1.4,0.4,0.7,0.1,0.8,0.9,1.4,0.4,0,0.7,0
Donta Smith,2004,38,11.4,3.3,1.2,3,0.2,0.6,0.9,1.3,0.5,0.9,1.4,1,0.6,0.1,0.7,0
James Thomas,2004,11,10.6,2.4,1.1,1.8,0,0,0.2,0.5,1.5,1.8,3.4,0.4,0.4,0.4,0.6,0
Emeka Okafor,2004,73,35.6,15.1,6.1,13.7,0,0,2.9,4.7,3.8,7.1,10.9,0.9,0.8,1.7,1.7,1
Andre Iguodala,2004,82,32.8,9,3.3,6.7,0.6,1.7,1.9,2.6,1.1,4.6,5.7,3,1.7,0.6,1.7,1
Dwight Howard,2004,82,32.6,12,4.3,8.3,0,0,3.4,5,3.5,6.5,10,0.9,0.9,1.7,2,1
Josh Childress,2004,80,29.7,10.1,3.8,8,0.2,0.7,2.4,2.9,2.4,3.6,6,1.9,0.9,0.4,1.3,1
Josh Smith,2004,74,27.7,9.7,3.7,8.1,0.1,0.3,2.2,3.2,2,4.2,6.2,1.7,0.8,1.9,1.8,1
Chris Duhon,2004,82,26.5,5.9,2.1,6,1.1,3.2,0.6,0.8,0.3,2.3,2.6,4.9,1,0,1.4,1
Quinton Ross,2004,78,21.3,5.1,2.1,4.8,0,0.1,0.9,1.4,0.8,1.9,2.7,1.4,0.7,0.3,0.7,1
Jameer Nelson,2004,79,20.4,8.7,3.6,7.9,0.6,1.8,0.9,1.4,0.7,1.8,2.4,3,1,0,1.5,1
Sebastian Telfair,2004,68,19.6,6.8,2.5,6.3,0.3,1,1.5,2,0.1,1.4,1.5,3.3,0.5,0.1,1.8,1
Matt Bonner,2004,82,18.9,7.2,3,5.6,0.5,1.1,0.7,0.9,1.3,2.2,3.5,0.6,0.5,0.2,0.5,1
Trevor Ariza,2004,80,17.3,5.9,2.2,4.9,0,0.2,1.5,2.2,1.1,1.9,3,1.1,0.9,0.2,0.9,1
Nick Collison,2004,82,17,5.6,2.3,4.3,0,0,1,1.4,1.9,2.7,4.6,0.4,0.4,0.6,0.8,1
Tony Allen,2004,77,16.4,6.4,2.4,5,0.2,0.4,1.5,2,1.1,1.8,2.9,0.8,1,0.3,1,1
Devin Harris,2004,76,15.4,5.7,2.1,4.8,0.6,1.7,1,1.4,0.4,1,1.3,2.2,1,0.3,1.1,1
Al Jefferson,2004,71,14.8,6.7,2.7,5.2,0,0,1.2,1.9,1.7,2.7,4.4,0.3,0.3,0.8,0.9,1
Royal Ivey,2004,62,13,3.5,1.4,3.2,0,0.1,0.8,1.1,0.3,1,1.4,1.7,0.6,0.1,0.9,1
Kris Humphries,2004,67,13,4.1,1.7,4.3,0,0.1,0.7,1.5,1.1,1.9,2.9,0.6,0.4,0.3,0.8,1
Delonte West,2004,39,13,4.5,1.7,4,0.6,1.7,0.5,0.7,0.4,1.3,1.7,1.4,0.5,0.2,0.6,1
Kevin Martin,2004,45,10.1,2.9,1,2.6,0.1,0.6,0.8,1.2,0.6,0.6,1.3,0.5,0.4,0.1,0.5,1
Travis Hansen,2003,41,12.4,3,1.1,3.2,0.2,0.7,0.5,0.7,0.7,1,1.7,0.5,0.2,0.2,0.4,0
Brandon Hunter,2003,36,11.3,3.5,1.5,3.2,0,0.1,0.5,1.2,1.4,1.9,3.3,0.5,0.4,0,0.6,0
Reece Gaines,2003,38,9.6,1.8,0.7,2.3,0.1,0.3,0.4,0.7,0.2,0.8,1,1.1,0.3,0.1,0.5,0
Richie Frahm,2003,54,8.7,3.4,1.2,2.6,0.6,1.7,0.4,0.5,0.2,0.8,1,0.4,0.3,0.1,0.1,0
LeBron James,2003,79,39.5,20.9,7.9,18.9,0.8,2.7,4.4,5.8,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1
Carmelo Anthony,2003,82,36.5,21,7.6,17.9,0.8,2.6,5,6.4,2.2,3.8,6.1,2.8,1.2,0.5,3,1
Kirk Hinrich,2003,76,35.6,12,4.2,10.8,1.9,4.9,1.8,2.2,0.6,2.9,3.4,6.8,1.3,0.3,2.7,1
Dwyane Wade,2003,61,34.9,16.2,6.1,13.1,0.3,0.9,3.8,5.1,1.4,2.7,4,4.5,1.4,0.6,3.2,1
Chris Bosh,2003,75,33.5,11.5,4.4,9.5,0.1,0.2,2.7,3.8,2.5,4.9,7.4,1,0.8,1.4,1.4,1
Jarvis Hayes,2003,70,29.2,9.6,4,9.9,0.6,1.9,1.1,1.4,1,2.8,3.8,1.5,1,0.2,1.6,1
T.J. Ford,2003,55,26.8,7.1,2.8,7.2,0.1,0.4,1.5,1.8,0.7,2.5,3.2,6.5,1.1,0.1,2.5,1
Keith Bogans,2003,73,24.5,6.8,2.5,6.2,0.9,2.6,0.9,1.4,1.5,2.9,4.3,1.3,0.6,0.1,1,1
Udonis Haslem,2003,75,23.9,7.3,2.7,6,0,0,1.9,2.4,2.5,3.8,6.3,0.7,0.4,0.3,1,1
Josh Howard,2003,67,23.7,8.6,3.4,7.9,0.3,1,1.4,2.1,2.2,3.3,5.5,1.4,1,0.8,1,1
Chris Kaman,2003,82,22.5,6.1,2.4,5.3,0,0,1.2,1.7,1.5,4.1,5.6,1,0.3,0.9,1.9,1
Matt Barnes,2003,38,19.1,4.5,1.7,3.6,0.1,0.3,1.1,1.6,1.4,2.6,4,1.3,0.7,0.1,1.2,1
Ronald Dupree,2003,47,19,6.2,2.4,6,0.1,0.2,1.4,2.2,1.2,2.4,3.6,1.2,0.7,0.4,1.1,1
Steve Blake,2003,75,18.6,5.9,2.1,5.4,1,2.7,0.7,0.9,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1
Marquis Daniels,2003,56,18.6,8.5,3.6,7.3,0.2,0.6,1.1,1.4,1.2,1.4,2.6,2.1,0.9,0.2,0.8,1
Linton Johnson,2003,41,17.9,4.2,1.8,5,0.2,0.8,0.5,0.9,1.4,3,4.5,0.7,0.9,0.8,0.9,1
Marcus Banks,2003,81,17.1,5.9,2.2,5.5,0.3,1.1,1.2,1.6,0.4,1.3,1.6,2.2,1.1,0.2,1.5,1
Luke Ridnour,2003,69,16.1,5.5,2.1,5.1,0.4,1.2,0.9,1.1,0.5,1.1,1.6,2.4,0.8,0.1,1.2,1
Willie Green,2003,53,14.5,6.9,2.7,6.7,0.4,1.2,1.1,1.5,0.3,0.9,1.2,1,0.5,0.1,1.1,1
Mo Williams,2003,57,13.5,5,2,5.3,0.2,0.7,0.8,1,0.4,0.9,1.3,1.3,0.5,0,0.9,1
David West,2003,71,13.1,3.8,1.5,3.2,0,0,0.8,1.1,1.6,2.5,4.2,0.8,0.4,0.4,0.7,1
Brian Cook,2003,35,12.6,4.4,1.9,4,0,0.1,0.6,0.8,0.9,2,2.9,0.6,0.5,0.5,0.5,1
Kyle Korver,2003,74,11.9,4.5,1.6,4.4,1.1,2.8,0.3,0.3,0.4,1.1,1.5,0.5,0.3,0.1,0.6,1
